Design ID	Version	Canonical ref	Definition SHA-256
SD-CMD-INT-001	1	contracts/camera-observation.md#sd-cmd-int-001--cancelrequested	sha256:e7346f323abb3f7d91d0ab35bdc04c5c078f8d48caae95185d1b1fa102e7b6fd
SD-CMD-INT-002	1	contracts/finite-conversation.md#sd-cmd-int-002--submitinteraction	sha256:bbd5f95d9e812945dc097c77042d84437de8a548fabfac40ab6f50a0fbb2ff37
SD-CMD-QLI-001	1	contracts/finite-conversation.md#sd-cmd-qli-001--returntohomerequested	sha256:b31c81087981ca3096e0b681da738e07bc61d8ac5aebd63aa8f2fe71a3bad809
SD-CTX-ACO-001	1	contracts/acoustic-interaction.md#sd-ctx-aco-001--acoustic-context	sha256:092d2ae52e78122474f9de8970aa7ebbe8958a69025abe2158cb1fb69cdb8f5c
SD-CTX-EXE-001	1	contracts/execution.md#sd-ctx-exe-001--execution-context	sha256:521e3d3c930f09469bfd247de7afd919db019f503994b33f99a79df3671b9652
SD-EFX-ACO-001	1	contracts/acoustic-interaction.md#sd-efx-aco-001--openacousticsourcesession	sha256:1612023670c4c6f4f1077d7fd33428e6d5f4977e8399db27689bb15454baec8b
SD-EFX-ACO-002	1	contracts/acoustic-interaction.md#sd-efx-aco-002--playwakeprompt	sha256:ea290ea40e53270b1780bc46f13db86f1191246417665e0ffbfd5b7721c93ad9
SD-EFX-ACO-003	1	contracts/acoustic-interaction.md#sd-efx-aco-003--awaitacousticguardboundary	sha256:ee6a961034161aee868573ec6ce63987c4a575df6a2033084fbf7a97df79ee5a
SD-EFX-ACO-004	1	contracts/acoustic-interaction.md#sd-efx-aco-004--transcriberetainedacousticspans	sha256:eb5faef8f4e8f383e8e7d38c090acb269296e5a6b47653bc643da8b096123331
SD-EFX-ACO-005	1	contracts/acoustic-interaction.md#sd-efx-aco-005--closeacousticsourcesession	sha256:6a3955680bf6f3d336b256b6005c2523ca9154cc15a84a18d6c2d60abbb961c4
SD-EFX-ACO-006	1	contracts/acoustic-interaction.md#sd-efx-aco-006--queryacousticsourceoperation	sha256:bcb8d39546c72d01f830b8cab85e446be030217b20649d7331be0b1b81dab02c
SD-EFX-ACO-007	1	contracts/acoustic-interaction.md#sd-efx-aco-007--awaitacousticoperationdeadline	sha256:b679487ad99b644e13ab874a5b3e0d3a456c388721a0456284291cfa21580bc8
SD-EFX-ACO-008	1	contracts/acoustic-interaction.md#sd-efx-aco-008--querywakepromptoperation	sha256:46bcb39a6d48f455946322f87a387c5efdcf372a75ec2c1c27332868740c4a1c
SD-EFX-ACO-009	1	contracts/acoustic-interaction.md#sd-efx-aco-009--cancelwakepromptplayback	sha256:c7867c88d16e8ca1af67925bd60ca920e5b36a18655105d16ffaf06302cc33bf
SD-EFX-ACO-010	1	contracts/acoustic-interaction.md#sd-efx-aco-010--cancelacousticsourceoperation	sha256:788ea7c007f004435241a87caeb28842fff3da337afab43fad507902cc7fc64d
SD-EVT-ACO-001	1	contracts/acoustic-interaction.md#sd-evt-aco-001--wakecandidateobserved	sha256:369674a68542ed0220f570b43db2caef0784a99e691f2bd5367b02172dc6354d
SD-EVT-ACO-002	1	contracts/acoustic-interaction.md#sd-evt-aco-002--acousticsourceobserved	sha256:4ab142994ccbd4d032f8c819822deaf1942f3152b74b4cd4b654af5ed9a988fa
SD-EVT-ACO-003	1	contracts/acoustic-interaction.md#sd-evt-aco-003--acousticsourceoperationresolved	sha256:cf7270ba618d0a04b991a5881844aeb895a3d699fb70d8753a216be3bed27408
SD-EVT-ACO-004	1	contracts/acoustic-interaction.md#sd-evt-aco-004--wakepromptplaybackresolved	sha256:48eff95e1e52bce7fc8ed788c3b0508e7d6534ab08df98b91f2a5e8f832fecc4
SD-EVT-ACO-005	1	contracts/acoustic-interaction.md#sd-evt-aco-005--acousticguardboundaryelapsed	sha256:ac966bec67de4400a18c8f76f6e60eebdad30f4ad5a304741f543965d4603205
SD-EVT-ACO-006	1	contracts/acoustic-interaction.md#sd-evt-aco-006--voicecontrolcandidateobserved	sha256:6fbc025e996c6785110c2fba33179cd20ca12634ad9949532af17aecfbb723cd
SD-EVT-ACO-007	1	contracts/acoustic-interaction.md#sd-evt-aco-007--acousticdecisionrecorded	sha256:8cf5c2c4db17fa2374cb32b6824fa16e5adc71e02472fe6dbf94275e5339a35c
SD-EVT-ACO-008	1	contracts/acoustic-interaction.md#sd-evt-aco-008--acousticpolicyrevisionregistered	sha256:08b95881d1aa249f56ba8ad16a973bc70f2599e2de4e047e1cf4061c2009171c
SD-EVT-ACO-009	1	contracts/acoustic-interaction.md#sd-evt-aco-009--acousticoperationdeadlineelapsed	sha256:b053e479a72d8f61899644447672236d06d1d0632c9a86211ece35ded6d86bfb
SD-EVT-ACO-010	1	contracts/acoustic-interaction.md#sd-evt-aco-010--acousticsourcequeryresolved	sha256:38792d25e3b314e5522fa9c28308d95ff5a70e42ecca01e063054faa7524367d
SD-EVT-ACO-011	1	contracts/acoustic-interaction.md#sd-evt-aco-011--wakepromptqueryresolved	sha256:72f73bf9312f7cb065299ccbac3be011fe880f479d1a28db267e9f89550f0c43
SD-EVT-ACO-012	1	contracts/acoustic-interaction.md#sd-evt-aco-012--acousticsourcecancellationresolved	sha256:c2bc18b91db8907a58dffa994862081576652afc0d5bb47d9ab5b8339fecc41f
SD-EVT-ACO-013	1	contracts/acoustic-interaction.md#sd-evt-aco-013--wakepromptcancellationresolved	sha256:3b25ada30299ba15de733d9ed48705b40fe64b9ec40afb04be69c943f7396807
SD-EVT-ACO-014	1	contracts/acoustic-interaction.md#sd-evt-aco-014--voicecontrolprocessed	sha256:df2421b1a5d026f7446adf01c1ae939cb8b6fd31dbf8e668989977b37c6e3885
SD-EVT-EXE-009	1	contracts/execution-acoustic-v2.md#sd-evt-exe-009--acousticgraphcontributioncommitted	sha256:ec7e90dd0f992771ab3e384ad568918e4c53e25d035850babc45dd6163bd9f81
SD-EVT-EXE-010	1	contracts/execution-acoustic-v2.md#sd-evt-exe-010--executionsnapshotv2activated	sha256:cbb89645c96bb7554e8b20297e49945afa76e091f7cb650e6dd4a60468f523b2
SD-FAIL-ACO-001	1	contracts/acoustic-interaction.md#sd-fail-aco-001--acousticfailure	sha256:4fdd94c4ff6342387fdea3aa02ea610593911733f541879b41a80595e51041bc
